grupo_equipe;data_inicio_exec;data_fim_exec;aerogerador;desc_especie;desc_esquema;quantidade
AGD;2026-02-19 13:00:00;2026-02-19 13:30:00;AQB-36;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:35:00;AQB-24;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 13:40:00;AQB-33;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:00:00;2026-02-19 14:00:00;AQB-20;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:30:00;2026-02-19 14:00:00;AQB-01;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:30:00;2026-02-19 14:00:00;AQB-95;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 13:30:00;2026-02-19 14:10:00;AQB-03;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-19 15:00:00;2026-02-19 15:30:00;AQB-25;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-20 08:00:00;2026-02-20 16:00:00;AMP-14;AEROGERADOR;AVALIAÇÃO DE EQUIPE;1
AGD;2026-02-20 08:00:00;2026-02-20 16:00:00;AMP-14;GERADOR;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-20 08:00:00;2026-02-20 16:00:00;AMP-14;NACELLE;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-20 08:00:00;2026-02-20 16:00:00;AMP-14;SISTEMA PITCH;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-20 08:00:00;2026-02-20 16:00:00;AMP-14;TORRE WTG;INSPEÇÃO DE MANUTENÇÃO PREVENTIVA ANUAL;1
AGD;2026-02-23 10:00:00;2026-02-23 10:30:00;AQB-3K;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-23 11:00:00;2026-02-23 11:24:00;AQB-49;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-23 11:00:00;2026-02-23 11:30:00;AQB-87;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-23 11:00:00;2026-02-23 11:40:00;AQB-53;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-23 13:00:00;2026-02-23 13:30:00;AQB-25;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-23 13:00:00;2026-02-23 13:40:00;AQB-57;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
AGD;2026-02-23 13:30:00;2026-02-23 14:00:00;AQB-28;FERRAMENTAS EQUIPAMENTOS DE ENSAIO E MEDIÇÃO;MPP6 - AUDITORIA DE FERRAMENTAS - M6;1
